fundingTime,fundingRate,markPrice
2024-01-27 16:00:00+00:00,0.0001,2269.29000000
2024-01-28 00:00:00+00:00,6.557e-05,2266.99000000
2024-01-28 08:00:00+00:00,6.135e-05,2281.84000000
2024-01-28 16:00:00+00:00,8.266e-05,2269.16000000
2024-01-29 00:00:00+00:00,0.0001,2256.11057011
2024-01-29 08:00:00.001000+00:00,0.0001,2258.42000000
2024-01-29 16:00:00+00:00,0.0001,2275.16400000
2024-01-30 00:00:00+00:00,0.0001,2316.79295076
2024-01-30 08:00:00+00:00,6.195e-05,2308.27000000
2024-01-30 16:00:00.001000+00:00,0.0001,2340.43000000
2024-01-31 00:00:00+00:00,0.0001,2342.25398864
2024-01-31 08:00:00+00:00,0.0001,2340.24780303
2024-01-31 16:00:00+00:00,0.0001,2328.82088258
2024-02-01 00:00:00+00:00,5.527e-05,2282.15384470
2024-02-01 08:00:00+00:00,7.871e-05,2270.91404545
2024-02-01 16:00:00.002000+00:00,0.0001,2288.28000000
2024-02-02 00:00:00+00:00,0.0001,2303.55129231
2024-02-02 08:00:00+00:00,3.678e-05,2312.60050140
2024-02-02 16:00:00+00:00,0.0001,2313.09896591
2024-02-03 00:00:00+00:00,8.15e-05,2308.21922729
2024-02-03 08:00:00+00:00,0.0001,2313.44000000
2024-02-03 16:00:00.001000+00:00,4.476e-05,2302.83000000
2024-02-04 00:00:00+00:00,3.18e-05,2295.43727831
2024-02-04 08:00:00.004000+00:00,9.094e-05,2289.78281160
2024-02-04 16:00:00+00:00,0.0001,2300.98432317
2024-02-05 00:00:00+00:00,0.0001,2288.76719557
2024-02-05 08:00:00+00:00,0.0001,2309.74000000
2024-02-05 16:00:00+00:00,0.0001,2297.57946970
2024-02-06 00:00:00+00:00,5.691e-05,2300.83000000
2024-02-06 08:00:00.001000+00:00,0.0001,2326.24939394
2024-02-06 16:00:00+00:00,0.0001,2342.86334470
2024-02-07 00:00:00+00:00,7.659e-05,2371.74000000
2024-02-07 08:00:00+00:00,4.883e-05,2362.07000000
2024-02-07 16:00:00+00:00,4.309e-05,2368.69000000
