idx,time_utc,side,tier,p_main,p3,p4,p5,p_opp_3,close,high,low,hit_3,hit_4,hit_5
169,2025-10-28 00:00,LONG,E_weak,0.489,0.489,0.503,0.372,0.003,114357.73,114673.68,113483.3,0,0,0
170,2025-10-28 12:00,SHORT,D_watch,0.541,0.541,0.552,0.525,0.058,112898.45,116086.0,112211.0,1,1,1
171,2025-10-29 00:00,LONG,F_min,0.332,0.332,0.378,0.339,0.004,113132.36,113624.12,112100.0,0,0,0
172,2025-10-30 00:00,LONG,E_weak,0.439,0.439,0.43,0.495,0.004,109717.29,111592.0,107925.06,0,0,0
173,2025-10-30 12:00,LONG,B_strong,0.798,0.798,0.73,0.61,0.005,108322.88,109777.93,106304.34,1,1,0
174,2025-10-31 12:00,SHORT,C_signal,0.6,0.6,0.665,0.639,0.004,109608.01,111190.0,108635.0,1,1,1
175,2025-11-02 12:00,LONG,E_weak,0.486,0.486,0.377,0.381,0.052,110540.68,111250.01,109471.34,0,0,0
176,2025-11-03 00:00,LONG,F_min,0.365,0.365,0.279,0.312,0.004,107787.42,110750.0,106726.63,0,0,0
177,2025-11-03 12:00,LONG,E_weak,0.45,0.45,0.437,0.498,0.004,106583.04,108333.0,105306.56,0,0,0
178,2025-11-04 12:00,LONG,A_sniper,0.822,0.822,0.646,0.644,0.003,101497.22,104842.63,98944.36,1,1,1
179,2025-11-07 00:00,LONG,F_min,0.302,0.302,0.315,0.205,0.005,100411.89,102527.0,99803.58,0,0,0
180,2025-11-07 12:00,LONG,B_strong,0.756,0.756,0.784,0.48,0.264,103339.08,104096.36,99260.86,1,1,1
181,2025-11-09 00:00,LONG,C_signal,0.66,0.66,0.468,0.428,0.004,102239.41,102337.89,101400.0,1,1,1
182,2025-11-09 12:00,SHORT,D_watch,0.562,0.562,0.533,0.294,0.003,104722.96,105495.62,102050.64,0,0,0
183,2025-11-11 00:00,SHORT,D_watch,0.522,0.522,0.497,0.513,0.004,105311.9,107500.0,104741.2,1,1,1
