signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2022-11-03T05:00:00+00:00,LONG,loss,-1.0,20337.68,20293.08,20435.8,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,aligned,aligned,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,aligned,counter,5,Thursday,Asia,counter,high
2022-11-25T04:00:00+00:00,SHORT,loss,-1.0,16510.46,16587.24,16341.54,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,neutral,yellow_OB,red,aligned,green,counter,counter,aligned,4,Friday,Asia,counter,low
2022-12-12T00:00:00+00:00,SHORT,loss,-1.0,17088.0,17214.7,16809.25,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,yellow_OS,neutral,red,aligned,grey_from_green,aligned,aligned,aligned,0,Monday,Asia,aligned,high
2023-06-02T06:00:00+00:00,LONG,loss,-1.0,27017.0,26692.76,27730.33,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,yellow_OB,yellow_OS,green,aligned,red,counter,counter,counter,6,Friday,Asia,counter,med
2023-06-02T14:00:00+00:00,SHORT,loss,-1.0,26987.0,27154.19,26619.19,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,neutral,neutral,green,counter,red,aligned,aligned,aligned,14,Friday,NY,aligned,med
2023-10-30T04:00:00+00:00,SHORT,loss,-1.0,34405.0,34550.46,34084.98,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,neutral,yellow_OB,grey_from_green,aligned,green,counter,counter,counter,4,Monday,Asia,counter,high
2023-11-01T02:00:00+00:00,SHORT,loss,-1.0,34500.15,34602.72,34274.5,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,neutral,neutral,green,counter,grey_from_green,aligned,counter,counter,2,Wednesday,Asia,counter,med
2023-11-03T14:00:00+00:00,LONG,win,2.2,34450.0,34227.88,34938.66,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,neutral,red,counter,grey_from_green,counter,counter,counter,14,Friday,NY,aligned,med
2024-01-18T20:00:00+00:00,SHORT,win,2.2,41500.0,42628.81,39016.63,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,yellow_OS,yellow_OS,red,aligned,red,aligned,aligned,aligned,20,Thursday,off,counter,high
2024-02-20T06:00:00+00:00,LONG,loss,-1.0,51818.0,51630.65,52230.16,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,neutral,neutral,red,counter,green,aligned,aligned,aligned,6,Tuesday,Asia,counter,med
