net_R,gross_R,outcome,bars,net_pct,risk_pct,sym,tf,year,dir,kind
1.907774938490975,1.9999999999999962,win,11,0.03180484696822839,0.016671173484114225,ETHUSDT,1h,2024,1,ROUNDING_TOP
-1.1237098765432108,-1.0000000000000007,loss,2,-0.012943886283119587,0.011518886283119579,ETHUSDT,1h,2024,1,ROUNDING_TOP
1.7994167343697152,2.0000000000000036,win,9,0.013568518800320211,0.007540509400160092,ETHUSDT,1h,2025,1,ROUNDING_TOP
1.9072258600436356,2.0000000000000044,win,2,0.02929476739790144,0.015359883698950685,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
1.933755501222496,2.0000000000000018,win,2,0.041597440392706964,0.02151122019635346,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
1.8965141403508792,2.000000000000002,win,24,0.031154730216553017,0.01642736510827649,ETHUSDT,1h,2025,1,ROUNDING_TOP
-1.0805821651527083,-1.0000000000000038,loss,6,-0.019779298441284805,0.018304298441284738,ETHUSDT,1h,2025,1,ROUNDING_TOP
1.8617146633207953,2.000000000000009,win,0,0.018847989173973585,0.010123994586986746,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
-1.156614652281352,-0.9999999999999997,loss,4,-0.010708392997579362,0.009258392997579365,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
0.8784496339971997,0.973567435359883,timeout,20,0.01523838729796403,0.017346910634619954,ETHUSDT,1h,2025,1,ROUNDING_TOP
-1.1701269042120694,-1.0000000000000062,loss,1,-0.009715125657840265,0.008302625657840212,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
-1.1258226781207352,-1.0000000000000049,loss,0,-0.012526769998145079,0.011126769998145023,ETHUSDT,1h,2025,1,ROUNDING_TOP
-1.118236679575012,-0.9999999999999946,loss,6,-0.013949978198826634,0.012474978198826701,ETHUSDT,1h,2025,-1,ROUNDING_BOTTOM
1.7760218238598806,2.0000000000000115,win,6,0.01169592607341515,0.006585463036707538,ETHUSDT,1h,2026,1,ROUNDING_TOP
1.8572868518518528,2.0000000000000018,win,2,0.018545129150549254,0.009985064575274618,ETHUSDT,1h,2026,1,ROUNDING_TOP
-1.127121997911589,-0.9999999999999988,loss,0,-0.01241304276993554,0.011013042769935553,ETHUSDT,1h,2026,1,ROUNDING_TOP
1.7144298773581657,1.999999999999982,win,3,0.00863007980633014,0.005033789903165115,ETHUSDT,1h,2026,-1,ROUNDING_BOTTOM
-1.089807986939599,-1.0000000000000033,loss,2,-0.017292185631924376,0.015867185631924324,ETHUSDT,1h,2026,-1,ROUNDING_BOTTOM
1.9472260822853433,2.0000000000000018,win,18,0.06826039089433174,0.035055195447165836,ETHUSDT,2h,2021,1,ROUNDING_TOP
