symbol,tf,kind,expdir,dirR,mfe_h,confirmed,height_atr,htf_align,regime_align,bar_mom,year
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,0.7170715497490244,1,3.457967583632868,1,1,1.097197262925072,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.27005618684594296,1,9.943250754981879,1,1,1.097197262925072,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.22344322344322345,1,2.274296051222245,0,0,1.1582248351700741,2020
BTCUSDT,1h,RECTANGLE,UP,1,0.24255376946376175,1,2.466043688162888,0,0,1.1582248351700741,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,,0,3.7689802197384865,1,1,1.3188107153370745,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,-1,,0,6.967333329942584,0,0,1.3188107153370745,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,0.55408795627108,1,4.3127687016337015,0,0,1.9337919174548654,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,-1,0.28927212613600617,1,4.4325993414061955,1,1,0.8071456376050657,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,-1,0.3522869319020406,1,4.255976236735073,1,1,0.8071456376050657,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,1.8626228284754713,0,0,2.22894813217795,2020
BTCUSDT,1h,TRIPLE_BOTTOM,UP,-1,0.5666051263464297,1,3.4165208618378347,0,0,2.22894813217795,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.3130911379649217,1,3.9653260693882655,1,1,2.22894813217795,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.37494037401960706,1,3.556373991290359,1,1,1.0871946118886961,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,4.212613950358061,1,1,0.7469818112318015,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.1981461331518808,1,5.484139360538893,1,1,1.1292844555856176,2020
