is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2021-02-20T12:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,14.071,1.544,1.89,8.91,0.003571,0.199,0.863,65,0.26,3,1,2021
0,BTCUSDT,1h,2021-03-02T03:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,2.392,4.549,2.55,8.03,0.004837,0.559,0.804,65,0.42,2,1,2021
0,BTCUSDT,1h,2021-03-03T11:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,5.299,1.542,1.97,6.74,0.017547,0.502,0.807,30,0.4,2,1,2021
0,BTCUSDT,1h,2021-03-09T08:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.375,4.541,1.55,6.07,0.00613,0.318,0.848,45,0.33,3,1,2021
0,BTCUSDT,1h,2021-03-11T10:00:00+00:00,ROUNDING_TOP,DOWN,1.0,3.05,0.661,1.5,3.91,-0.013362,0.708,0.82,30,0.57,2,1,2021
0,BTCUSDT,1h,2021-03-13T17:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,7.74,2.039,1.75,6.27,0.006917,0.473,0.801,45,0.4,3,1,2021
0,BTCUSDT,1h,2021-03-14T23:00:00+00:00,ROUNDING_TOP,DOWN,1.0,2.261,7.737,2.32,7.03,-0.009146,0.567,0.87,45,0.6,2,1,2021
0,BTCUSDT,1h,2021-03-16T20:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.02,5.044,1.86,8.45,0.007352,0.272,0.833,45,0.69,2,1,2021
0,BTCUSDT,1h,2021-03-18T10:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,2.566,3.586,2.14,7.17,-0.042782,0.384,0.928,20,0.65,2,1,2021
0,BTCUSDT,1h,2021-03-24T22:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.913,2.555,2.06,5.29,-0.041177,0.861,0.871,20,0.5,0,-1,2021
0,BTCUSDT,1h,2021-04-05T16:00:00+00:00,ROUNDING_BOTTOM,UP,0.0,,,1.65,4.81,0.033052,0.71,0.825,20,0.45,3,1,2021
0,BTCUSDT,1h,2021-04-23T20:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,1.785,0.64,1.76,6.72,0.015654,0.386,0.926,30,0.67,1,-1,2021
0,BTCUSDT,1h,2021-04-28T06:00:00+00:00,ROUNDING_TOP,DOWN,1.0,7.673,3.643,2.1,15.82,-0.003977,0.106,0.852,65,0.85,1,-1,2021
0,BTCUSDT,1h,2021-05-02T15:00:00+00:00,ROUNDING_TOP,DOWN,1.0,4.052,6.274,2.77,8.6,-0.005238,0.462,0.892,65,0.63,1,-1,2021
0,BTCUSDT,1h,2021-05-07T17:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,2.031,2.045,1.59,3.84,0.014153,0.851,0.858,30,0.5,3,1,2021
0,BTCUSDT,1h,2021-05-12T17:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.402,12.739,1.5,4.16,-0.013355,0.846,0.848,30,0.5,0,-1,2021
0,BTCUSDT,1h,2021-05-14T21:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,12.206,1.432,4.09,15.25,0.007741,0.311,0.888,65,0.68,0,-1,2021
0,BTCUSDT,1h,2021-05-24T09:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.342,3.918,2.09,5.46,0.018556,0.806,0.807,30,0.5,2,-1,2021
0,BTCUSDT,1h,2021-06-05T01:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,5.347,0.438,1.51,4.93,0.013439,0.43,0.822,30,0.63,1,-1,2021
0,BTCUSDT,1h,2021-06-08T09:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,7.513,2.4,1.61,5.4,-0.003054,0.403,0.802,65,0.37,0,-1,2021
0,BTCUSDT,1h,2021-06-10T03:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,3.104,2.015,3.2,7.48,0.006055,0.823,0.896,65,0.46,2,-1,2021
0,BTCUSDT,1h,2021-06-14T12:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,2.926,3.45,3.04,9.41,0.005759,0.365,0.839,65,0.35,3,-1,2021
0,BTCUSDT,1h,2021-06-16T06:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.152,11.311,2.13,10.62,-0.00403,0.297,0.813,65,0.68,2,-1,2021
0,BTCUSDT,1h,2021-06-19T15:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,5.603,0.192,1.6,5.51,0.014183,0.451,0.836,30,0.63,1,-1,2021
0,BTCUSDT,1h,2021-06-21T09:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.139,2.572,1.51,3.93,-0.030137,0.657,0.862,20,0.4,0,-1,2021
0,BTCUSDT,1h,2021-06-23T19:00:00+00:00,ROUNDING_TOP,DOWN,1.0,4.249,1.043,1.9,8.93,-0.01689,0.39,0.832,30,0.63,0,-1,2021
0,BTCUSDT,1h,2021-06-25T11:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.564,6.176,1.68,4.51,-0.014952,0.652,0.88,30,0.57,1,-1,2021
0,BTCUSDT,1h,2021-06-27T15:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,1.56,6.292,2.94,8.79,0.005561,0.676,0.846,65,0.57,2,-1,2021
0,BTCUSDT,1h,2021-06-30T03:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.553,2.859,1.65,3.98,-0.03308,0.821,0.921,20,0.55,1,-1,2021
0,BTCUSDT,1h,2021-07-05T16:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,4.354,1.54,2.35,7.45,-0.009298,0.538,0.803,45,0.4,1,-1,2021
0,BTCUSDT,1h,2021-07-09T21:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.0,2.799,2.88,8.53,0.00545,0.401,0.834,65,0.63,2,-1,2021
0,BTCUSDT,1h,2021-07-13T09:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,6.777,0.264,1.63,6.41,0.014499,0.255,0.927,30,0.7,1,-1,2021
0,BTCUSDT,1h,2021-07-15T11:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,1.199,2.797,1.73,3.93,-0.015403,0.835,0.882,30,0.53,0,-1,2021
0,BTCUSDT,1h,2021-07-20T09:00:00+00:00,ROUNDING_TOP,DOWN,1.0,11.072,0.459,1.53,9.0,-0.002892,0.165,0.894,65,0.23,0,-1,2021
